Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
ALB	$232.80 	-0.3	-0.13%	27232086830	704652					
ALBO	$23.80 	-0.13	-0.54%	458831489	103469					
ALE	$65.65 	0.71	1.09%	3451382393	93913					
ALEC	$21.84 	-0.78	-3.45%	1775069958	418225					
ALEX	$24.90 	0.06	0.24%	1805995830	185061					
ALG	$146.58 	0.83	0.57%	1747782689	15096					
ALGM	$35.68 	-0.04	-0.11%	6768586984	1408018					
ALGN	$656.37 	-4.7	-0.71%	51756788900	269075					
ALGS	$12.17 	-0.19	-1.54%	518639044	75137					
ALGT	$190.98 	1.81	0.96%	3454393911	134628					
ALHC	$14.04 	0.1	0.72%	2628873019	619600					
ALK	$52.90 	0.28	0.53%	6628934337	1292290					
ALKT	$20.03 	0.01	0.05%	1765601496	367994					
ALL	$117.09 	1.01	0.87%	33566897641	1311088					
ALLE	$131.06 	1.48	1.14%	11755539674	284253					
ALLK	$10.09 	-0.06	-0.59%	548021994	8721183					
ALLO	$15.41 	0.01	0.07%	2196170605	1362983					
ALLY	$47.90 	0.27	0.57%	16594667600	1338200					
ALNY	$168.70 	7.59	4.71%	20176718560	1207140					
ALPN	$13.64 	-0.12	-0.87%	398563201	111721					
ALPP	$2.01 	-0.15	-6.94%	359768322	1295201					
ALRM	$84.05 	-0.51	-0.60%	4207579982	131619					
ALRS	$29.50 	0.01	0.03%	507638272	14948					
ALSN	$35.50 	0.49	1.40%	3701239656	1861526					
ALT	$8.75 	-0.09	-1.02%	347712969	836658					
ALTO	$4.78 	-0.15	-3.04%	347985821	1031650					
ALTR	$74.47 	-0.92	-1.22%	5863069718	70222					
ALTU	$9.89 	0.03	0.30%	370875000	36138					
ALVR	$13.30 	-0.13	-0.97%	833502661	98761					
ALX	$255.86 	-2.21	-0.86%	1306751219	7175					
ALXO	$22.26 	-0.1	-0.45%	901519716	170941					
AM	$9.78 	-0.06	-0.61%	4669987037	1759317					
AMAL	$16.71 	-0.15	-0.89%	519629132	18333					
AMAT	$159.64 	-3.08	-1.89%	1.41842E+11	5834315					
AMBA	$203.71 	-5.69	-2.72%	7537901501	358639					
AMBC	$15.75 	0.1	0.64%	729290189	280708					
AMCX	$35.05 	-0.14	-0.40%	1480939330	163451					
AMD	$153.15 	-1.21	-0.78%	1.84946E+11	58633750					
AME	$146.36 	1.03	0.71%	33856751296	687346					
AMED	$165.70 	3.02	1.86%	5402221823	208954					
AMEH	$71.53 	0.97	1.38%	3973423761	396478					
AMG	$166.09 	-0.7	-0.42%	6751776742	108625					
AMGN	$225.77 	0.6	0.27%	1.27169E+11	1304467					
AMK	$25.11 	-0.22	-0.87%	1846853231	48036					
AMKR	$23.93 	0.22	0.93%	5851486385	667468					
AMN	$120.59 	-3.65	-2.94%	5700893335	380802					
AMNB	$38.70 	-0.22	-0.57%	417136774	17767					
AMOT	$35.91 	-0.49	-1.35%	533412706	20755					
AMP	$305.67 	-1.72	-0.56%	34201360362	547374					
AMPH	$22.84 	-0.03	-0.13%	1092874472	159644					
AMPL	$55.55 	-2.6	-4.47%	6049139137	812720					
AMR	$59.29 	0.06	0.10%	1090962265	175033					
AMRC	$78.20 	-2.37	-2.94%	4031949772	154775					
AMRK	$59.90 	-1.415	-2.31%	679934628	43720					
AMRS	$5.23 	-0.15	-2.79%	1612089337	4230500					
